"","nest","site","species","status","fate","final_fate","i","j","k","cov_5m","nest_age","nocc"
"147","20231","RUTW","CONI","0,0,0,0,0,0,0,0",0,"1","30","44","45",NA,NA,"99"
"148","20233","RUTW","LETE","0,0,0,1",1,"0","35","40","42",NA,NA,"99"
"149","20240","RUTE","CONI","0,0,0,0,0",0,"1","37","45","45",NA,"20","99"
"150","20241","RUTW","LETE","0,0,0,0,1",1,"6","42","48","52",NA,NA,"99"
"151","20243","RUTE","LETE","0,0,0,0,0,0",0,"1","42","53","55","20",NA,"99"
"152","20244","RUTE","LETE","0,1",1,"6","42","42","45","30",NA,"99"
"153","20245","RUTE","LETE","0,1",1,"6","42","42","45","30",NA,"99"
"154","20246","RUTE","LETE","0,1",1,"6","42","42","45","30",NA,"99"
"155","20247","RUTE","LETE","0,0,1",1,"4","42","45","48","50",NA,"99"
"156","20248","RUTW","LETE","0,0,1",1,"3","44","48","52","0",NA,"99"
"157","20249","RUTW","LETE","0,0,0,0,0,0,0",0,"1","44","61","61","20","23","99"
"158","20250","RUTW","LETE","0,0,0,0,0,0",0,"1","44","61","65","50","21","99"
"159","20252","RUTE","LETE","0,0,0,0,0",0,"1","48","58","61","20",NA,"99"
"160","20254","RUTW","LETE","0,0,0,1",1,"5","52","57","61",NA,NA,"99"
"161","20257","RUTW","CONI","0,0,0",0,"1","44","61","61","50","14","99"
"162","20258","RUTW","CONI","0,0",0,"1","44","50","50","95","16","99"
"163","20259","RUTW","CONI","0",0,"1","44","44","44","80","16","99"
"164","20261","RUTW","LETE","0,0,0,0,0,0,0",0,"1","52","77","77","10",NA,"99"
"165","20262","RUTE","LETE","0,0,0,0,0,0",0,"1","53","70","70","30",NA,"99"
"166","20265","RUTE","CONI","0,0,0,0",0,"1","53","66","66","80",NA,"99"
"167","20268","RUTW","CONI","0,0,0,1",1,"4","57","65","70","95",NA,"99"
"168","20269","RUTW","LETE","0,0,0,0,0",0,"1","57","73","73","40","19","99"
"169","20270","RUTW","CONI","0,0,1",1,"5","57","61","65","70",NA,"99"
"170","20271","RUTW","LETE","0,1",1,"6","57","57","61","10",NA,"99"
