"","nest","site","species","status","fate","i","j","k","final_fate","cov_5m","nest_age","cam_fate"
"91","10277","RUTW","LETE","0,1",1,"40","40","43","5","30",NA,NA
"92","10278","RUTW","LETE","0,0,1",1,"40","43","45","5","30",NA,NA
"93","10279","RUTW","LETE","0,1",1,"40","40","45","0","40",NA,NA
"94","10281","RUTW","LETE","0,1",1,"40","40","45","5","30",NA,NA
"95","10282","RUTW","LETE","0,1",1,"40","40","45","5","30",NA,NA
"96","10283","RUTW","LETE","0,0,0,0",0,"51","58","58","1","30",NA,NA
"97","10284","RUTW","CONI","0,1,0",0,"40","46","46","1","40",NA,NA
"98","10285","RUTW","LETE","0,1",1,"46","46","50","2","30",NA,NA
"99","10288","RUTW","LETE","0,0,0,0,0",0,"46","64","64","1","30","22","1"
"100","10298","RUTW","LETE","0,0,1",1,"50","50","56","0","30","10","0"
"101","10304","RUTW","LETE","0,1",1,"51","51","58","0","50",NA,NA
"102","10307","RUTW","LETE","0,1",1,"51","51","53","0","40","2","0"
"103","10308","RUTW","LETE","0,1",1,"51","51","52","0","40","4","4"
"104","10310","RUTE","LETE","0,0,0,0",0,"65","81","81","1","30","19","1"
"105","10311","RUTE","LETE","0,0,0",0,"65","74","69","1",NA,"19","1"
"106","10319","RUTW","LETE","1,0,0",0,"68","77","77","1",NA,"21","1"
"107","10322","RUTW","LETE","0,0,1",1,"69","74","78","6",NA,"9","6"
"108","10329","RUTE","LETE","0,0,0,0,0,0,1",1,"69","89","91","0",NA,"21","3"
"109","10331","RUTW","CONI","0,0,0",0,"74","87","87","1",NA,NA,NA
"110","10335","RUTW","CONI","0,0,0,0,0",0,"75","87","87","1",NA,NA,NA
"111","10338","RUTW","LETE","0,0,1",1,"87","87","95","3",NA,NA,NA
"112","10339","RUTW","LETE","0,0,1",1,"87","87","91","3",NA,NA,"3"
"113","10341","RUTW","CONI","0,1",1,"79","79","82","6",NA,NA,NA
"114","10342","RUTW","CONI","0,1",1,"79","79","82","5",NA,NA,NA
"115","10343","RUTW","CONI","0,0",0,"79","81","81","1",NA,NA,NA
"116","10344","RUTW","CONI","0,0,1",1,"79","86","87","4","50",NA,NA
"117","10345","RUTW","CONI","0,0,0,0,1",1,"79","88","95","0",NA,NA,NA
"118","10346","RUTE","CONI","0,0,0",0,"79","84","84","1","60",NA,NA
"119","10348","RUTE","CONI","0,0,0",0,"79","94","94","1","50",NA,NA
"120","10353","RUTE","LETE","0,0,0,0,0,0,1",1,"86","103","75","4","40",NA,"4"
"121","10355","RUTW","CONI","0,0,1",1,"89","95","101","0","70","12","6"
"122","10356","RUTW","LETE","0,0,0,1",1,"86","89","92","3",NA,"10","6"
"123","10357","RUTW","LETE","0,0,0,1",1,"86","89","87","4",NA,"17","4"
"124","10358","RUTW","LETE","0,1",0,"86","89","89","1",NA,"19","2"
"125","10359","RUTW","LETE","0,0,1",1,"86","89","92","3","15",NA,"3"
"126","10360","RUTW","CONI","0,0,1,1",1,"95","102","101","6",NA,"3","6"
"127","10371","RUTE","CONI","0,0,0",0,"103","112","112","1","70","17","1"
"128","20005","RUTW","LETE","0,1",1,"21","21","28","3",NA,NA,NA
"129","20006","RUTW","LETE","0,1",1,"21","21","28","3",NA,NA,NA
"130","20007","RUTW","LETE","0,1",1,"21","21","28","3",NA,NA,NA
"131","20008","RUTW","LETE","0,1",1,"21","21","28","6",NA,NA,NA
"132","20200","RUTE","CONI","0,0,0,0,0,0,0,0,0",0,"25","44","45","1",NA,"20","1"
"133","20201","RUTE","LETE","0,0,0,0,0,0,0,0,0,0",0,"25","45","45","1",NA,NA,NA
"134","20202","RUTE","LETE","0,0,0,0,0,0,0,0,0",0,"25","44","44","1",NA,NA,NA
"135","20203","RUTE","LETE","0,0,0,0,0,0,0,0",0,"25","42","42","1",NA,NA,NA
"136","20204","RUTE","LETE","0,0,0,0,0,0,0,0,0",0,"25","42","44","1",NA,"21","1"
"137","20205","RUTE","LETE","0,0,0,0,0,0,0,0,0",0,"25","44","44","1",NA,NA,NA
"138","20206","RUTE","LETE","0,0,0,0,0,0,0,0",0,"25","42","42","1",NA,NA,NA
"139","20207","RUTE","LETE","0,0,1",1,"25","28","30","0",NA,NA,NA
"140","20211","RUTW","LETE","0,0,1",1,"28","32","35","6",NA,NA,NA
"141","20212","RUTW","LETE","0,0,1",1,"28","32","35","6",NA,NA,NA
"142","20213","RUTW","LETE","0,0,1",1,"28","32","35","2",NA,NA,NA
"143","20215","RUTW","LETE","0,1",1,"28","28","30","6",NA,NA,NA
"144","20217","RUTW","LETE","0,0,1",1,"28","32","35","2",NA,NA,NA
"145","20219","RUTW","LETE","0,0,0,0,0,1",1,"28","37","40","0",NA,NA,NA
"146","20220","RUTW","LETE","0,0,0,0,0,0,1",1,"28","42","44","0",NA,NA,NA
"147","20231","RUTW","CONI","0,0,0,0,0,0,0,0",0,"30","44","45","1",NA,NA,NA
"148","20233","RUTW","LETE","0,0,0,1",1,"35","40","42","0",NA,NA,NA
"149","20240","RUTE","CONI","0,0,0,0,0",0,"37","45","46","1",NA,"20","1"
"150","20241","RUTW","LETE","0,0,0,0,1",1,"42","48","52","6",NA,NA,NA
"151","20243","RUTE","LETE","0,0,0,0,1,0",0,"42","53","55","1","20",NA,NA
"152","20244","RUTE","LETE","0,1",1,"42","42","45","6","30",NA,NA
"153","20245","RUTE","LETE","0,1",1,"42","42","45","6","30",NA,NA
"154","20246","RUTE","LETE","0,1",1,"42","42","45","6","30",NA,NA
"155","20247","RUTE","LETE","0,0,1",1,"42","45","48","4","50",NA,NA
"156","20248","RUTW","LETE","0,0,1",1,"44","48","52","3","0",NA,NA
"157","20249","RUTW","LETE","0,0,0,1,0,0,0",0,"44","61","61","1","20","23","1"
"158","20250","RUTW","LETE","0,0,1,0,0,0",0,"44","61","65","1","50","21","1"
"159","20252","RUTE","LETE","0,1,0,0,0",0,"48","58","61","1","20",NA,NA
"160","20254","RUTW","LETE","0,0,0,1",1,"52","57","61","5",NA,NA,NA
"161","20257","RUTW","CONI","0,0,0",0,"44","61","60","1","50","14","1"
"162","20258","RUTW","CONI","0,0",0,"44","50","50","1","95","16","1"
"163","20259","RUTW","CONI","0",0,"44","44","45","1","80","16","1"
"164","20261","RUTW","LETE","0,0,0,0,0,0,0",0,"52","77","77","1","10",NA,NA
"165","20262","RUTE","LETE","1,0,0,0,0,0",0,"53","70","70","1","30",NA,NA
"166","20265","RUTE","CONI","1,0,0,0",0,"53","66","66","1","80",NA,NA
"167","20268","RUTW","CONI","0,0,0,1",1,"57","65","70","4","95",NA,NA
"168","20269","RUTW","LETE","0,0,0,0,0",0,"57","73","72","1","40","19","1"
"169","20270","RUTW","CONI","0,0,1",1,"57","61","65","5","70",NA,NA
"170","20271","RUTW","LETE","0,1",1,"57","57","61","6","10",NA,NA
"171","20273","RUTE","LETE","0,0,0,0,0",0,"58","73","73","1","40",NA,NA
"172","20276","RUTE","CONI","0,0,0,0",0,"61","73","74","1","75","19","1"
"173","20277","RUTE","LETE","0,1",1,"61","61","66","0","50",NA,NA
"174","20278","RUTW","LETE","0,1",1,"65","65","70","6","75",NA,NA
"175","20279","RUTW","LETE","0,1",1,"65","65","70","6","75",NA,NA
"176","20280","RUTW","LETE","0,1",1,"65","65","70","6","75",NA,NA
"177","20282","RUTW","LETE","0,1",1,"65","65","70","5","20",NA,NA
"178","20298","RUTW","LETE","0,0,0,0",0,"70","78","78","1","40",NA,NA
"179","20299","RUTW","LETE","0,0,0,0,1",1,"70","81","83","4","40","12","4"
"180","20300","RUTW","CONI","0",0,"46","46","47","1","90","16","1"
"181","20301","RUTW","CONI","0,0,0,1",1,"46","57","63","0","80","20","6"
"182","20303","RUTW","LETE","0,1",1,"49","49","52","6","40",NA,"6"
"183","20304","RUTW","LETE","0,0",0,"49","57","56","1","70","19","1"
"184","20317","RUTW","CONI","1,0,0,0",0,"53","67","68","1",NA,"16","1"
"185","20320","RUTW","CONI","1,0,0,0,0,1",1,"53","71","75","4","90","27","4"
"186","20321","RUTW","CONI","1,0,0,0",0,"53","67","68","1","60","19","1"
"187","20322","RUTW","CONI","0,0,0,1",1,"57","70","72","4","50","26","4"
"188","20324","RUTW","CONI","0,1",1,"59","59","61","4","90","6","6"
"189","20401","RUTW","LETE","0,0,0,0,0,0",0,"70","85","85","1","10",NA,NA
"190","20402","RUTW","LETE","0,0,0,0,0,0,0",0,"70","89","89","1","10","22","1"
"191","20403","RUTW","LETE","0,0,0,1",1,"70","77","81","6","10",NA,NA
"192","20404","RUTW","CONI","0,0,1",1,"70","73","77","6","90",NA,NA
"193","20406","RUTW","LETE","0,0,0,0,0,0,0",0,"73","92","91","1","50","20","1"
"194","20407","RUTW","LETE","0,0,0,0,0,0",0,"73","89","89","1","50",NA,NA
"195","20408","RUTW","LETE","0,0,0,0,0",0,"73","85","83","1","50","21","1"
"196","20409","RUTW","LETE","0,0,1",1,"73","77","81","4","50",NA,NA
"197","20410","RUTW","LETE","0,0,0,0,0,0,0,0",0,"73","95","95","1","50",NA,NA
"198","20411","RUTW","LETE","0,1",1,"73","73","77","5","50",NA,NA
"199","20414","RUTW","LETE","0,0,0,0,0,0,0,1",1,"77","81","98","4","70",NA,NA
