"","nest","site","species","status","fate","i","j","k","final_fate","cov_5m","nest_age","cam_fate","nocc"
"92","10278","RUTW","LETE","0,0,1",1,"40","43","45","5","30",NA,NA,"99"
"93","10279","RUTW","LETE","0,1",1,"40","40","45","0","40",NA,NA,"99"
"94","10281","RUTW","LETE","0,1",1,"40","40","45","5","30",NA,NA,"99"
"95","10282","RUTW","LETE","0,1",1,"40","40","45","5","30",NA,NA,"99"
"96","10283","RUTW","LETE","0,0,0,0",0,"51","58","58","1","30",NA,NA,"99"
"97","10284","RUTW","CONI","0,1,0",0,"40","46","46","1","40",NA,NA,"99"
"98","10285","RUTW","LETE","0,1",1,"46","46","50","2","30",NA,NA,"99"
"99","10288","RUTW","LETE","0,0,0,0,0",0,"46","64","64","1","30","22","1","99"
"100","10298","RUTW","LETE","0,0,1",1,"50","50","56","0","30","10","0","99"
"101","10304","RUTW","LETE","0,1",1,"51","51","58","0","50",NA,NA,"99"
"102","10307","RUTW","LETE","0,1",1,"51","51","53","0","40","2","0","99"
"103","10308","RUTW","LETE","0,1",1,"51","51","52","0","40","4","4","99"
"104","10310","RUTE","LETE","0,0,0,0",0,"65","81","81","1","30","19","1","99"
"105","10311","RUTE","LETE","0,0,0",0,"65","74","69","1",NA,"19","1","99"
"106","10319","RUTW","LETE","1,0,0",0,"68","77","77","1",NA,"21","1","99"
"107","10322","RUTW","LETE","0,0,1",1,"69","74","78","6",NA,"9","6","99"
"108","10329","RUTE","LETE","0,0,0,0,0,0,1",1,"69","89","91","0",NA,"21","3","99"
"109","10331","RUTW","CONI","0,0,0",0,"74","87","87","1",NA,NA,NA,"99"
"110","10335","RUTW","CONI","0,0,0,0,0",0,"75","87","87","1",NA,NA,NA,"99"
"111","10338","RUTW","LETE","0,0,1",1,"87","87","95","3",NA,NA,NA,"99"
"112","10339","RUTW","LETE","0,0,1",1,"87","87","91","3",NA,NA,"3","99"
"113","10341","RUTW","CONI","0,1",1,"79","79","82","6",NA,NA,NA,"99"
"114","10342","RUTW","CONI","0,1",1,"79","79","82","5",NA,NA,NA,"99"
"115","10343","RUTW","CONI","0,0",0,"79","81","81","1",NA,NA,NA,"99"
"116","10344","RUTW","CONI","0,0,1",1,"79","86","87","4","50",NA,NA,"99"
"117","10345","RUTW","CONI","0,0,0,0,1",1,"79","88","95","0",NA,NA,NA,"99"
"118","10346","RUTE","CONI","0,0,0",0,"79","84","84","1","60",NA,NA,"99"
"119","10348","RUTE","CONI","0,0,0",0,"79","94","94","1","50",NA,NA,"99"
"120","10353","RUTE","LETE","0,0,0,0,0,0,1",1,"86","103","75","4","40",NA,"4","99"
"121","10355","RUTW","CONI","0,0,1",1,"89","95","101","0","70","12","6","99"
"122","10356","RUTW","LETE","0,0,0,1",1,"86","89","92","3",NA,"10","6","99"
"123","10357","RUTW","LETE","0,0,0,1",1,"86","89","87","4",NA,"17","4","99"
"124","10358","RUTW","LETE","0,1",0,"86","89","89","1",NA,"19","2","99"
"125","10359","RUTW","LETE","0,0,1",1,"86","89","92","3","15",NA,"3","99"
"126","10360","RUTW","CONI","0,0,1,1",1,"95","102","101","6",NA,"3","6","99"
"127","10371","RUTE","CONI","0,0,0",0,"103","112","112","1","70","17","1","99"
"128","20005","RUTW","LETE","0,1",1,"21","21","28","3",NA,NA,NA,"99"
"129","20006","RUTW","LETE","0,1",1,"21","21","28","3",NA,NA,NA,"99"
"130","20007","RUTW","LETE","0,1",1,"21","21","28","3",NA,NA,NA,"99"
"131","20008","RUTW","LETE","0,1",1,"21","21","28","6",NA,NA,NA,"99"
"132","20200","RUTE","CONI","0,0,0,0,0,0,0,0,0",0,"25","44","45","1",NA,"20","1","99"
"133","20201","RUTE","LETE","0,0,0,0,0,0,0,0,0,0",0,"25","45","45","1",NA,NA,NA,"99"
"134","20202","RUTE","LETE","0,0,0,0,0,0,0,0,0",0,"25","44","44","1",NA,NA,NA,"99"
"135","20203","RUTE","LETE","0,0,0,0,0,0,0,0",0,"25","42","42","1",NA,NA,NA,"99"
"136","20204","RUTE","LETE","0,0,0,0,0,0,0,0,0",0,"25","42","44","1",NA,"21","1","99"
"137","20205","RUTE","LETE","0,0,0,0,0,0,0,0,0",0,"25","44","44","1",NA,NA,NA,"99"
"138","20206","RUTE","LETE","0,0,0,0,0,0,0,0",0,"25","42","42","1",NA,NA,NA,"99"
"139","20207","RUTE","LETE","0,0,1",1,"25","28","30","0",NA,NA,NA,"99"
"140","20211","RUTW","LETE","0,0,1",1,"28","32","35","6",NA,NA,NA,"99"
"141","20212","RUTW","LETE","0,0,1",1,"28","32","35","6",NA,NA,NA,"99"
"142","20213","RUTW","LETE","0,0,1",1,"28","32","35","2",NA,NA,NA,"99"
"143","20215","RUTW","LETE","0,1",1,"28","28","30","6",NA,NA,NA,"99"
"144","20217","RUTW","LETE","0,0,1",1,"28","32","35","2",NA,NA,NA,"99"
"145","20219","RUTW","LETE","0,0,0,0,0,1",1,"28","37","40","0",NA,NA,NA,"99"
"146","20220","RUTW","LETE","0,0,0,0,0,0,1",1,"28","42","44","0",NA,NA,NA,"99"
"147","20231","RUTW","CONI","0,0,0,0,0,0,0,0",0,"30","44","45","1",NA,NA,NA,"99"
"148","20233","RUTW","LETE","0,0,0,1",1,"35","40","42","0",NA,NA,NA,"99"
"149","20240","RUTE","CONI","0,0,0,0,0",0,"37","45","46","1",NA,"20","1","99"
"150","20241","RUTW","LETE","0,0,0,0,1",1,"42","48","52","6",NA,NA,NA,"99"
