"","nest","site","species","status","cov_5m","i","j","k","fate_date","nest_age","cam_fate"
"134",20202,"RUTE","LETE","0,0,0,0,0,0,0,0,0",NA,25,44,44,NA,NA,NA
"135",20203,"RUTE","LETE","0,0,0,0,0,0,0,0",NA,25,42,42,NA,NA,NA
"136",20204,"RUTE","LETE","0,0,0,0,0,0,0,0,0",NA,25,42,44,44,21,1
"137",20205,"RUTE","LETE","0,0,0,0,0,0,0,0,0",NA,25,44,44,NA,NA,NA
"138",20206,"RUTE","LETE","0,0,0,0,0,0,0,0",NA,25,42,42,NA,NA,NA
"139",20207,"RUTE","LETE","0,0,1",NA,25,28,30,NA,NA,NA
"140",20211,"RUTW","LETE","0,0,1",NA,28,32,35,NA,NA,NA
"141",20212,"RUTW","LETE","0,0,1",NA,28,32,35,NA,NA,NA
"142",20213,"RUTW","LETE","0,0,1",NA,28,32,35,NA,NA,NA
"143",20215,"RUTW","LETE","0,1",NA,28,28,30,NA,NA,NA
"144",20217,"RUTW","LETE","0,0,1",NA,28,32,35,NA,NA,NA
"145",20219,"RUTW","LETE","0,0,0,0,0,1",NA,28,37,40,NA,NA,NA
"146",20220,"RUTW","LETE","0,0,0,0,0,0,1",NA,28,42,44,NA,NA,NA
"147",20231,"RUTW","CONI","0,0,0,0,0,0,0,0",NA,30,44,45,NA,NA,NA
"148",20233,"RUTW","LETE","0,0,0,1",NA,35,40,42,NA,NA,NA
"149",20240,"RUTE","CONI","0,0,0,0,0",NA,37,45,46,46,20,1
"150",20241,"RUTW","LETE","0,0,0,0,1",NA,42,48,52,NA,NA,NA
"151",20243,"RUTE","LETE","0,0,0,0,0,0",20,42,53,55,NA,NA,NA
"152",20244,"RUTE","LETE","0,1",30,42,42,45,NA,NA,NA
"153",20245,"RUTE","LETE","0,1",30,42,42,45,NA,NA,NA
"154",20246,"RUTE","LETE","0,1",30,42,42,45,NA,NA,NA
"155",20247,"RUTE","LETE","0,0,1",50,42,45,48,NA,NA,NA
"156",20248,"RUTW","LETE","0,0,1",0,44,48,52,NA,NA,NA
"157",20249,"RUTW","LETE","0,0,0,0,0,0,0",20,44,61,61,61,23,1
"158",20250,"RUTW","LETE","0,0,0,0,0,0",50,44,61,65,65,21,1
"159",20252,"RUTE","LETE","0,0,0,0,0",20,48,58,61,NA,NA,NA
"160",20254,"RUTW","LETE","0,0,0,1",NA,52,57,61,NA,NA,NA
"161",20257,"RUTW","CONI","0,0,0",50,44,61,60,60,14,1
"162",20258,"RUTW","CONI","0,0",95,44,50,50,50,16,1
"163",20259,"RUTW","CONI","0",80,44,44,45,45,16,1
"164",20261,"RUTW","LETE","0,0,0,0,0,0,0",10,52,77,77,NA,NA,NA
"165",20262,"RUTE","LETE","0,0,0,0,0,0",30,53,70,70,NA,NA,NA
"166",20265,"RUTE","CONI","0,0,0,0",80,53,66,66,NA,NA,NA
"167",20268,"RUTW","CONI","0,0,0,1",95,57,65,70,NA,NA,NA
"168",20269,"RUTW","LETE","0,0,0,0,0",40,57,73,72,72,19,1
"169",20270,"RUTW","CONI","0,0,1",70,57,61,65,NA,NA,NA
"170",20271,"RUTW","LETE","0,0",10,57,57,61,NA,NA,NA
"171",20273,"RUTE","LETE","0,0,0,0,0",40,58,73,73,NA,NA,NA
"172",20276,"RUTE","CONI","0,0,0,0",75,61,73,74,74,19,1
"173",20277,"RUTE","LETE","0,1",50,61,61,66,NA,NA,NA
"174",20278,"RUTW","LETE","0,1",75,65,65,70,NA,NA,NA
"175",20279,"RUTW","LETE","0,1",75,65,65,70,NA,NA,NA
"176",20280,"RUTW","LETE","0,1",75,65,65,70,NA,NA,NA
"177",20282,"RUTW","LETE","0,1",20,65,65,70,NA,NA,NA
"178",20298,"RUTW","LETE","0,0,0,0",40,70,78,78,NA,NA,NA
"179",20299,"RUTW","LETE","0,0,0,0,1",40,70,81,83,83,12,4
"180",20300,"RUTW","CONI","0",90,46,46,47,47,16,1
"181",20301,"RUTW","CONI","0,0,0,1",80,46,57,63,63,20,6
"182",20303,"RUTW","LETE","0,1",40,49,49,52,52,NA,6
"183",20304,"RUTW","LETE","0,0",70,49,57,56,56,19,1
"184",20317,"RUTW","CONI","0,0,0,0",NA,53,67,68,68,16,1
"185",20320,"RUTW","CONI","0,0,0,0,0,1",90,53,71,75,75,27,4
"186",20321,"RUTW","CONI","0,0,0,0",60,53,67,68,68,19,1
"187",20322,"RUTW","CONI","0,0,0,1",50,57,70,72,72,26,4
"188",20324,"RUTW","CONI","0,1",90,59,59,61,61,6,6
"189",20401,"RUTW","LETE","0,0,0,0,0,0",10,70,85,85,NA,NA,NA
"190",20402,"RUTW","LETE","0,0,0,0,0,0,0",10,70,89,89,89,22,1
"191",20403,"RUTW","LETE","0,0,0,1",10,70,77,81,NA,NA,NA
"192",20404,"RUTW","CONI","0,0,1",90,70,73,77,NA,NA,NA
"193",20406,"RUTW","LETE","0,0,0,0,0,0,0",50,73,92,91,91,20,1
"194",20407,"RUTW","LETE","0,0,0,0,0,0",50,73,89,89,NA,NA,NA
"195",20408,"RUTW","LETE","0,0,0,0,0",50,73,85,83,83,21,1
"196",20409,"RUTW","LETE","0,0,1",50,73,77,81,NA,NA,NA
"197",20410,"RUTW","LETE","0,0,0,0,0,0,0,0",50,73,95,95,NA,NA,NA
"198",20411,"RUTW","LETE","0,1",50,73,73,77,NA,NA,NA
"199",20414,"RUTW","LETE","0,0,0,0,0,0,0,1",70,77,81,98,NA,NA,NA
"200",20415,"RUTW","LETE","0,0,0,0,0,0,0,0",40,78,98,99,99,24,1
"201",20416,"RUTW","LETE","0,0,0,0,0,0",40,78,92,92,NA,NA,NA
"202",20417,"RUTW","LETE","0,1,1,1",20,78,78,85,NA,NA,NA
"203",20418,"RUTW","CONI","0,0,0,0,0",40,78,89,89,NA,NA,NA
"204",20420,"RUTW","LETE","0,0,0,0,0,0,0,0",75,82,101,102,102,22,1
"205",20421,"RUTW","LETE","0,0,0,0",50,82,89,89,NA,NA,NA
"206",20422,"RUTW","LETE","0,0,0,0,0,0,1",40,82,92,98,98,15,0
"207",20423,"RUTW","LETE","0,0,0,0,0,0,0,1",75,82,98,101,NA,NA,NA
"208",20425,"RUTW","LETE","0,0,0,0,0,0,0",40,83,101,101,NA,NA,NA
"209",20426,"RUTW","LETE","0,0,1",25,83,85,89,NA,NA,NA
"210",20427,"RUTW","LETE","0,0,0,0,0",25,83,95,95,NA,NA,NA
"211",20428,"RUTW","LETE","0,0,0,0",25,83,89,92,NA,NA,NA
"212",20429,"RUTW","LETE","0,0,0,0,0,1",25,83,95,98,NA,NA,NA
"213",20432,"RUTW","LETE","0,0,0,0,0,1",10,85,98,101,NA,NA,NA
"214",20433,"RUTW","LETE","0,0,0,0,0,1",10,85,98,101,101,17,6
"215",20434,"RUTW","LETE","0,0,0,0,0,1",10,85,98,101,NA,NA,NA
"216",20435,"RUTW","LETE","0,0,1",0,85,89,92,NA,NA,NA
"217",20436,"RUTW","LETE","0,0,0,0,0",30,85,98,97,97,20,1
"218",20437,"RUTW","LETE","0,0,1",50,85,89,92,NA,NA,NA
"219",20438,"RUTW","LETE","0,0,0,0",10,85,95,95,NA,NA,NA
"220",20439,"RUTW","LETE","0,1",10,85,85,89,NA,NA,NA
"221",20440,"RUTW","LETE","0,1",10,85,85,89,NA,NA,NA
"222",20443,"RUTW","LETE","0,0,0,0,0",20,85,98,98,NA,NA,NA
"223",20444,"RUTW","LETE","0,0,0,0,0",75,85,98,98,NA,NA,NA
"224",20445,"RUTW","LETE","0,0,0",10,89,95,95,NA,NA,NA
"225",20446,"RUTW","LETE","0,0,0,0,0",0,89,101,101,NA,NA,NA
"226",20447,"RUTW","LETE","0,0,0,0,0",0,89,101,101,NA,NA,NA
