"nest","site","species","status","cov_5m","fate_date","nest_age","obs_int","i","j","k","final_fate","cam_fate","year","hatchfail","c_hatchfail","HF_mis","HF","misclass","how_mis"
"20320","RUTW","CONI","1|1|1|1|1|0","90","75","27","0","53","71","77","4","4","2020",0,0,0,NA,1,"C"
"20321","RUTW","CONI","1|1|1|1","60","68","19","0","53","67","67","1","1","2020",1,1,0,NA,1,"C"
"20322","RUTW","CONI","1|1|1|0","50","72","26","0","57","70","70","4","4","2020",0,0,0,NA,1,"C"
"20323","RUTE","CONI","1|1|1|1|0","50",NA,NA,"0",NA,NA,NA,"7",NA,"2020",7,7,NA,NA,NA,NA
"20324","RUTW","CONI","1|0","90","61","6","0","59","59","63","4","6","2020",0,0,0,NA,0,"M"
"20352","RUTE","CONI","1|1|1|1","40","81","27","0","66","78","81","7","1","2020",7,1,1,NA,0,"N"
"20355","RUTE","CONI","1|1|0","30","70",NA,"0","66","69","70","7","0","2020",7,0,1,NA,0,"N"
"20400","RUTW","LETE","1|1|1|1|1|1","10","84","21","0","70","85","85","8","1","2020",7,1,1,NA,0,"N"
"20402","RUTW","LETE","1|1|1|1|1|1|1","10","89","22","0","70","89","89","1","1","2020",1,1,0,NA,1,"C"
"20405","RUTW","LETE","1|1|1|1|1|1|0","50","91","20","0","73","92","92","8","1","2020",7,1,1,NA,0,"N"
"20406","RUTW","LETE","1|1|1|1|1|1|1","50","91","20","0","73","92","92","1","1","2020",1,1,0,NA,1,"C"
"20408","RUTW","LETE","1|1|1|1|1","50","83","21","0","73","85","85","1","1","2020",1,1,0,NA,1,"C"
"20415","RUTW","LETE","1|1|1|1|1|1|1|1","40","99","24","0","78","98","98","1","1","2020",1,1,0,NA,1,"C"
"20420","RUTW","LETE","1|1|1|1|1|1|1|1","75","102","22","0","82","101","101","1","1","2020",1,1,0,NA,1,"C"
"20422","RUTW","LETE","1|1|1|1|1|1|0","40","98","15","0","82","92","98","4","0","2020",0,0,0,NA,0,"M"
"20424","RUTW","LETE","1|1|1|1|1|0","20","95","23","0","82","95","95","8","1","2020",7,1,1,NA,0,"N"
"20433","RUTW","LETE","1|1|1|1|1|0","10","101","17","0","85","98","101","6","6","2020",0,0,0,NA,1,"C"
"20436","RUTW","LETE","1|1|1|1|1","30","97","20","0","85","98","98","1","1","2020",1,1,0,NA,1,"C"
"20454","RUTW","CONI","1|1|1|1|1|1|0","95",NA,NA,"0","92","105","109","7",NA,"2020",7,7,NA,NA,NA,NA
"20460","RUTW","LETE","1|1|0","10","103","21","0","98","103","103","8","1","2020",7,1,1,NA,0,"N"
"20461","RUTW","LETE","1|0","5","103","5","0","101","101","103","0","3","2020",0,0,0,NA,0,"M"
"20463","RUTW","LETE","1|0","30","103","18","0","101","101","103","3","3","2020",0,0,0,NA,1,"C"
"20465","RUTW","LETE","1|0","40","103","18","0","101","101","103","3","3","2020",0,0,0,NA,1,"C"
"20466","RUTW","LETE","1|0","50","108","20","0","105","105","109","4","6","2020",0,0,0,NA,0,"M"
